,ID,ID_ordered,location,dist,azimuth,lat_x,lon_x,location_type,max_dist_moves,grouping,location_l,location_near,location_country,city_8,neighborhood_9,orig_country_103,gender_4,employment_status_303,number_moves_200,work_kind_307,migrant_status_3,ethnic_group_106,mother_tongue_115,refugee_214,send_money_310,financial_support_320,retireOrigindist,retireOriginaz,geometry,lat_y,lon_y,in_thm,move_count_in,In_No_Answer,In_Education,In_Housing,In_Kin,In_Restart,In_Safety,In_Work,out_thm,move_count_out,Out_No_Answer,Out_Education,Out_Housing,Out_Kin,Out_Remain,Out_Restart,Out_Safety,Out_Work
602,285819,285819.02,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,206,434.7022239878956,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Ghana,Male,Doing casual jobs,3,Doing casual jobs,Yes,Dagomba,Dagbani,No,Yes,No,418.2260775654865,0.5353163095320199,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
604,285820,285820.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,920.7890942277608,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),No,Mnyamlenge,Kinyamlenge,No,Yes,Yes,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
605,285828,285828.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,72.14197626398715,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Kamba,Kamba,No,Yes,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
606,285829,285829.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,3780.283764653104,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Nigeria,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Ibo,English ,No,Yes,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
607,285841,285841.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,1678.8564999209989,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of Congo,Female,Unemployed ,2,Unemployed,No,Mnyamrenge,Kinyamrenge,No,No,No,758.067405693238,0.0557770208373709,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
609,285851,285851.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,875.2752519281805,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Unemployed ,2,Unemployed,No,Wanyamulenge,Kinyamlenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
611,285852,285852.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,875.2752519281805,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Congo-Brazzaville,Female,Unemployed ,2,Unemployed,No,Mnyamulenge,Kinyamulenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
614,285854,285854.05,"('Kakuma', 'Turkana', 'Kenya')",512.1635338247271,1.9747593938253512,34.825154,3.753338,215,936.8119407880216,moves200,Kakuma,Turkana,Kenya,Nairobi,Ongata Rongai,South Sudan ,Male,Other,3,University/technikon/correspondence student,No,Nuer,Nuer,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,
616,285855,285855.05,"('Nakivale', 'Mbarara', 'Uganda')",646.3260453941174,3.050524587226966,30.9475798,-0.7818948,215,875.2752519281805,moves200,Nakivale,Mbarara,Uganda,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Nyamlenge,Kinyamlenge,Yes,No,No,867.4093532238617,0.1987263425503678,,,,,,,,,,,,,,,,,,,,,,
617,285857,285857.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,875.2752519281805,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Unemployed ,0,Unemployed,No,Mnyamlenge,Kinyamlenge,No,No,No,45.51384229958035,0.0709621144901402,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
618,285858,285858.05,"('Musasa', 'Muyinga', 'Burundi')",795.9182133191805,-2.8292513695534725,29.8954759,-3.9223792,215,795.9182133191805,moves200,Musasa,Muyinga,Burundi,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Unemployed ,3,Unemployed,No,Wanyamrenge,Kinyamrenge,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
619,285867,285867.05,"('Kakuma', 'Nairobi', 'Kenya')",512.1635338247271,1.9747593938253512,34.825154,3.753338,215,811.1048551578388,moves200,Kakuma,Nairobi,Kenya,Nairobi,Ongata Rongai,South Sudan,Male,Other,3,Other (specify),No,Nuer,Nuer,Yes,No,Yes,786.7490748246968,1.4231878827356363,,,,,,,,,,,,,,,,,,,,,,
620,285868,285868.01,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,202,434.7022239878956,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Ghana,Male,Doing casual jobs,2,Doing casual jobs,Yes,Dagomba,Dagbani,No,Yes,No,426.8277292961229,1.0438949059321794,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
621,285869,285869.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,0.0,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of Congo,Male,Unemployed ,2,Unemployed,No,Mnyamrenge,Kinyamrenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
623,285877,285877.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,875.2752519281805,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Male,Unemployed ,2,Unemployed,No,Mnyamurenge,Kinyamurenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
626,285900,285900.03,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,211,920.7890942277608,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Female,Self-employed (run small business/income generation project),4,Self-employed (run small business/income generation project),No,Wanyamlenge,Kinyamlenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
627,285918,285918.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,943.2017502336056,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Ethiopia ,Female,University/technikon/correspondence student,2,University/technikon/correspondence student,No,Nuer,Nuer,No,No,Yes,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
628,285925,285925.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,918.2375243606256,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of  Congo,Female,Unemployed ,2,Unemployed,No,Mnyamrenge,Kinyamrenge,No,No,No,0.0,0.0,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
631,285927,285927.03,"('Kasarani', 'Nairobi', 'Kenya')",22.764053438495,0.7553485473374165,36.9012224,-1.2208721000000002,202,212.59863181607588,moves200,Kasarani,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya ,Female,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kisii,Kikisii,No,Yes,No,5906.179035021638,0.4424838342949435,POINT (36.90122239999391 -1.220872100267059),-1.2208721000000002,36.9012224,Work,4.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,Work,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
632,285933,285933.01,"('Nima', 'Accra', 'Ghana')",4.530205381275725,0.952349674625272,-0.1987685,5.5820252,202,4.530205381275725,moves200,Nima,Accra,Ghana,Accra,Old Fadama,Ghana,Male,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Dagomba,Dagbani,No,Yes,Yes,2.5260002562775066,0.3717434886604897,POINT (-0.1987684993666221 5.582025200502585),5.5820252,-0.1987685,Work,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,Work,3.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0
634,285937,285937.02,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,206,562.1286738132862,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Ghana,Female,Doing casual jobs,3,Doing casual jobs,Yes,Grunshi,Sisaala,No,No,No,522.1058838538415,0.8350367122196067,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
635,285953,285953.01,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,202,0.0,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Nigeria,Female,Doing casual jobs,2,Doing casual jobs,Yes,Yoruba,Yoruba,No,Yes,No,,,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
636,285967,285967.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,920.7890942277608,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Male,Working full-time (formal/informal sector),2,Working part-time (formal/informal sector),No,Banyamlenge,Kinyamlenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
637,285972,285972.01,"('Madina', 'Tamale', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,202,420.61481836986496,moves200,Madina,Tamale,Ghana,Accra,Madina,Ghana,Female,Doing casual jobs,2,Doing casual jobs,Yes,Mamprusi,Mamprusi,No,No,No,27.856806067461378,0.126295764050045,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
640,285988,285988.05,"('Kakuma', 'Turkana', 'Kenya')",512.1635338247271,1.9747593938253512,34.825154,3.753338,215,920.7890942277608,moves200,Kakuma,Turkana,Kenya,Nairobi,Ongata Rongai,Democratic Republic Of The Congo,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),No,Wanyamlenge,Kinyamlenge,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,
641,286001,286001.01,"('Aguata', 'Onitsha', 'Nigeria')",810.3786422944028,0.0641159534314312,7.0908,6.0176,202,810.3786422944028,moves200,Aguata,Onitsha,Nigeria,Accra,Old Fadama,Nigeria ,Male,Self-employed (run small business/income generation project),2,Self-employed (run small business/income generation project),Yes,Igbo,Igbo,No,No,Yes,360.1766516125543,0.1578049624050582,POINT (7.090800000519778 6.017600000239895),6.0176,7.0908,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
643,286004,286004.02,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,206,325.2974589270165,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Ghana,Male,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),Yes,Krachi,Krachi,No,Yes,No,301.4582620405242,4.564671945235851,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
645,286020,286020.02,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,206,178.18693141096608,moves200,Madina,Accra,Ghana,Accra,Madina,Ghana,Female,Unemployed ,3,Unemployed,Yes,Ewe,Ewe,No,No,No,,,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,(No Answer),88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
647,286021,286021.02,"('Adenta', 'Accra', 'Ghana')",1.967693780863146,1.6321607381661996,-0.1687965,5.7041391,202,18.16383118419629,moves200,Adenta,Accra,Ghana,Accra,Madina,Ghana,Female,Self-employed (run small business/income generation project),3,Self-employed (run small business/income generation project),Yes,Ashanti,Twi,No,No,Yes,12.442111669235736,0.5303453558098044,POINT (-0.1687964994587219 5.704139100439193),5.7041391,-0.1687965,Work,8.0,0.0,1.0,2.0,4.0,0.0,0.0,8.0,(No Answer),13.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
650,286051,286051.03,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,211,412.4315844660987,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Togo,Male,Self-employed (run small business/income generation project),4,Self-employed (run small business/income generation project),No,Tem,Kotokoli ,No,No,No,397.8034247497748,1.2260733939774753,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
652,286055,286055.02,"('Ongata Rongai', 'Kajiado', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,24.02364293469836,moves200,Ongata Rongai,Kajiado,Kenya,Nairobi,Ongata Rongai,Congo-Brazzaville,Male,Unemployed ,3,Unemployed,No,Nyamulenge,Kinyamulenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,(No Answer),7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
653,286057,286057.01,"('Ongata Rongai', 'Kajiado', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,0.0,moves200,Ongata Rongai,Kajiado,Kenya,Nairobi,Ongata Rongai,Congo-Brazzaville,Female,Unemployed ,2,Unemployed,No,Nyamulenge,Kinyamulenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,(No Answer),7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
654,286058,286058.01,"('Ongata Rongai', 'Kajiado', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,0.0,moves200,Ongata Rongai,Kajiado,Kenya,Nairobi,Ongata Rongai,Congo-Brazzaville,Male,Working part-time (formal/informal sector),2,Working part-time (formal/informal sector),Yes,Nyamulenge,Kinyamulenge,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,7.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,(No Answer),7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
656,286064,286064.02,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,206,487.2688464919524,moves200,Madina,Accra,Ghana,Accra,Madina,Nigeria,Female,Casual employment/temporary worker,3,Casual employment/temporary worker,Yes,Yoruba,Yoruba,No,No,No,,,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,(No Answer),88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
659,286066,286066.03,"('Ablekuma', 'Accra', 'Ghana')",17.389381187816156,-2.757320926903584,-0.3135002999999999,5.6279342,202,427.4857061724546,moves200,Ablekuma,Accra,Ghana,Accra,Madina,Ghana,Male,Working full-time (formal/informal sector),5,Working full-time (formal/informal sector),Yes,Assin,Twi,No,Yes,Yes,135.2528069705219,2.644940392393452,POINT (-0.3135002998987488 5.627934199703589),5.6279342,-0.3135002999999999,Work,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,(No Answer),1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
662,286067,286067.03,"('Old Fadama', 'Accra', 'Ghana')",16.476146422409087,-1.9475309254099613,-0.2225215999999999,5.5488671,202,563.3673763760206,moves200,Old Fadama,Accra,Ghana,Accra,Madina,Ghana ,Female,Self-employed (run small business/income generation project),4,Self-employed (run small business/income generation project),Yes,Hausa,Hausa ,No,Yes,No,,,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
664,286068,286068.02,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,206,17.729620306110053,moves200,Madina,Accra,Ghana,Accra,Madina,Ghana,Female,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Ewe,Ga,No,No,Yes,19.26557358204563,1.9741625793182536,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,(No Answer),88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
666,286071,286071.03,"('Madina', 'Accra', 'Ghana')",0.01,0.0,-0.1677052,5.6864962,211,321.8063699165781,moves200,Madina,Accra,Ghana,Accra,Madina,Benin,Female,Working full-time (formal/informal sector),4,Working part-time (formal/informal sector),No,Fon,Fon,No,Yes,No,0.0,0.0,POINT (-0.1677052000349022 5.686496199640033),5.6864962,-0.1677052,Work,66.0,0.0,5.0,0.0,21.0,2.0,1.0,66.0,(No Answer),88.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0
667,286335,286335.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,73.84793369095226,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Male,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Kamba,Kikamba,No,Yes,No,7.272908142056579,0.6297573611954225,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
668,286353,286353.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,94.1671460663418,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Male,Unemployed ,1,Unemployed,Yes,Giriama,Kigiriama,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
670,286356,286356.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,250.27861324321373,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Male,University/technikon/correspondence student,3,University/technikon/correspondence student,Yes,Luo,Dholuo,No,No,Yes,0.0,0.0,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
673,286374,286374.03,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,211,269.8239674138125,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya ,Male,Working full-time (formal/informal sector),4,Working full-time (formal/informal sector),Yes,Kamba,Kikamba,No,Yes,No,64.66155717017615,0.3028733609406817,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
676,286389,286389.03,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,211,273.1045637995015,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Female,University/technikon/correspondence student,3,University/technikon/correspondence student,Yes,Luo,Dholuo,No,No,Yes,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
677,286393,286393.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,303.7894522398073,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Female,Self-employed (run small business/income generation project),1,Self-employed (run small business/income generation project),Yes,Luo,Dholuo,No,No,No,249.9889817729841,2.121877537745453,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
678,286396,286396.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,122.2934509716952,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Male,Working part-time (formal/informal sector),2,Working part-time (formal/informal sector),Yes,Kikuyu,Kikuyu ,No,Yes,No,0.0,0.0,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
680,286404,286404.02,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,206,238.34521548563407,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya ,Male,Working full-time (formal/informal sector),3,Working full-time (formal/informal sector),Yes,Kikuyu,Kikuyu,No,No,No,,,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
683,286405,286405.03,"('Old Fadama', 'Accra', 'Ghana')",0.01,0.0,-0.2225215999999999,5.5488671,211,964.7417187281194,moves200,Old Fadama,Accra,Ghana,Accra,Old Fadama,Niger,Male,Self-employed (run small business/income generation project),4,Self-employed (run small business/income generation project),No,Tuareg,Tamashek,No,Yes,No,940.902521841627,4.178729707125552,POINT (-0.2225216000917385 5.548867100436439),5.5488671,-0.2225215999999999,Work,64.0,0.0,0.0,0.0,4.0,0.0,0.0,64.0,(No Answer),63.0,63.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0
684,286410,286410.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,162.5084851821582,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya,Male,Working full-time (formal/informal sector),2,Working full-time (formal/informal sector),Yes,Mmeru,Kimeru,No,Yes,No,14.927792918053768,0.0145593045431078,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
685,286411,286411.01,"('Ongata Rongai', 'Nairobi', 'Kenya')",0.01,3.141592653589793,36.752010600000006,-1.395968,202,72.14197626398715,moves200,Ongata Rongai,Nairobi,Kenya,Nairobi,Ongata Rongai,Kenya ,Female,Housewife/homemaker,2,Housewife/homemaker,Yes,Kamba,Kikamba,No,Yes,Yes,19.044886206139367,0.102788717747776,POINT (36.75201060030906 -1.395968000023117),-1.395968,36.752010600000006,Work,45.0,0.0,7.0,7.0,13.0,0.0,3.0,45.0,(No Answer),71.0,71.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0
